iter	Passed	Remaining
0	53	53364
1	58	29142
2	61	20400
3	63	15935
4	68	13654
5	71	11882
6	75	10761
7	79	9892
8	83	9237
9	86	8600
10	89	8080
11	95	7862
12	100	7643
13	103	7297
14	108	7092
15	111	6834
16	114	6645
17	117	6437
18	120	6234
19	124	6119
20	127	5955
21	131	5843
22	134	5713
23	137	5574
24	140	5490
25	143	5377
26	146	5272
27	149	5204
28	152	5109
29	156	5051
30	159	4973
31	161	4899
32	165	4846
33	168	4774
34	171	4730
35	174	4670
36	177	4608
37	183	4633
38	188	4636
39	191	4591
40	194	4543
41	197	4500
42	200	4457
43	203	4423
44	206	4387
45	209	4349
46	213	4325
47	216	4286
48	218	4241
49	221	4208
50	224	4172
51	226	4132
52	229	4099
53	232	4068
54	234	4033
55	237	4007
56	240	3980
57	243	3948
58	245	3920
59	248	3899
60	251	3872
61	255	3866
62	258	3841
63	261	3818
64	264	3798
65	266	3774
66	271	3782
67	274	3758
68	278	3756
69	281	3734
70	283	3712
71	287	3699
72	289	3680
73	293	3671
74	296	3653
75	298	3632
76	303	3638
77	306	3624
78	309	3613
79	313	3602
80	316	3585
81	319	3571
82	321	3557
83	325	3552
84	328	3534
85	331	3520
86	334	3506
87	336	3490
88	339	3475
89	342	3464
90	345	3449
91	348	3438
92	351	3425
93	354	3412
94	357	3405
95	360	3391
96	363	3380
97	366	3369
98	368	3355
99	371	3345
100	374	3334
101	377	3325
102	380	3316
103	383	3306
104	387	3299
105	390	3290
106	392	3279
107	396	3271
108	398	3260
109	402	3258
110	405	3248
111	408	3240
112	411	3230
113	414	3221
114	418	3221
115	421	3211
116	424	3200
117	427	3192
118	429	3182
119	433	3179
120	436	3171
121	439	3162
122	442	3154
123	444	3143
124	447	3135
125	450	3127
126	453	3117
127	456	3109
128	459	3101
129	462	3093
130	466	3093
131	469	3085
132	472	3079
133	475	3072
134	478	3064
135	481	3057
136	484	3050
137	487	3043
138	490	3039
139	493	3031
140	496	3025
141	499	3017
142	502	3010
143	505	3005
144	508	2998
145	511	2994
146	515	2988
147	517	2981
148	520	2973
149	523	2965
150	526	2961
151	532	2970
152	538	2979
153	543	2983
154	549	2995
155	553	2996
156	556	2989
157	561	2990
158	564	2983
159	569	2989
160	572	2981
161	576	2982
162	579	2975
163	584	2979
164	587	2973
165	591	2973
166	594	2967
167	599	2969
168	602	2961
169	606	2960
170	609	2956
171	614	2956
172	617	2950
173	620	2947
174	624	2942
175	627	2937
176	631	2936
177	634	2931
178	638	2927
179	641	2921
180	645	2918
181	648	2914
182	652	2913
183	658	2918
184	661	2915
185	664	2910
186	668	2905
187	678	2931
188	682	2928
189	688	2934
190	692	2931
191	695	2928
192	699	2924
193	703	2923
194	706	2917
195	711	2919
196	714	2911
197	718	2908
198	720	2901
199	723	2894
200	727	2892
201	730	2884
202	733	2881
203	736	2875
204	739	2868
205	742	2863
206	745	2857
207	749	2852
208	752	2847
209	755	2842
210	758	2838
211	762	2833
212	765	2826
213	768	2820
214	770	2815
215	774	2809
216	777	2804
217	780	2798
218	783	2793
219	786	2786
220	789	2781
221	792	2776
222	795	2770
223	798	2765
224	801	2760
225	804	2753
226	806	2747
227	809	2741
228	812	2735
229	815	2729
230	818	2723
231	820	2716
232	823	2711
233	826	2705
234	829	2699
235	834	2701
236	837	2695
237	841	2694
238	844	2690
239	849	2690
240	852	2686
241	858	2688
242	861	2684
243	866	2683
244	869	2678
245	872	2673
246	875	2668
247	878	2662
248	881	2657
249	884	2652
250	887	2647
251	890	2642
252	893	2637
253	896	2632
254	899	2627
255	902	2621
256	905	2617
257	908	2612
258	911	2608
259	915	2604
260	917	2598
261	921	2594
262	923	2588
263	926	2583
264	929	2578
265	932	2572
266	937	2572
267	939	2567
268	943	2563
269	946	2558
270	949	2553
271	952	2548
272	954	2542
273	957	2537
274	960	2532
275	963	2527
276	966	2523
277	969	2518
278	973	2516
279	976	2511
280	979	2505
281	981	2500
282	984	2495
283	987	2489
284	990	2484
285	993	2479
286	995	2473
287	998	2468
288	1001	2464
289	1004	2458
290	1007	2455
291	1010	2450
292	1013	2444
293	1016	2441
294	1019	2436
295	1023	2433
296	1025	2428
297	1029	2425
298	1032	2421
299	1035	2415
300	1038	2412
301	1041	2408
302	1045	2405
303	1048	2401
304	1051	2396
305	1058	2399
306	1060	2394
307	1063	2389
308	1066	2383
309	1068	2378
310	1071	2373
311	1073	2368
312	1076	2362
313	1079	2357
314	1082	2353
315	1085	2350
316	1088	2345
317	1091	2341
318	1095	2338
319	1098	2334
320	1101	2330
321	1105	2326
322	1107	2322
323	1111	2318
324	1114	2313
325	1116	2308
326	1119	2304
327	1122	2300
328	1128	2300
329	1128	2300
330	1297	2630
331	1301	2627
332	1305	2622
333	1309	2618
334	1312	2612
335	1315	2606
336	1318	2601
337	1321	2596
338	1325	2591
339	1331	2591
340	1335	2589
341	1338	2583
342	1341	2577
343	1344	2571
344	1347	2566
345	1350	2560
346	1353	2554
347	1356	2548
348	1359	2542
349	1362	2536
350	1365	2531
351	1367	2525
352	1370	2519
353	1373	2514
354	1377	2509
355	1380	2504
356	1383	2498
357	1386	2492
358	1389	2487
359	1392	2482
360	1396	2477
361	1399	2473
362	1402	2468
363	1405	2463
364	1409	2459
365	1413	2454
366	1416	2450
367	1420	2446
368	1423	2441
369	1426	2436
370	1429	2430
371	1433	2427
372	1436	2421
373	1440	2417
374	1443	2412
375	1446	2407
376	1449	2402
377	1452	2396
378	1456	2392
379	1459	2387
